[LOG] System::create                           :         Header version = 2.02.04. Current version = 2.02.04.
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9aaeb28
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9aaeb28
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9ab26c8
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe6742ca8)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7ff48f4db8)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7ff48b0408)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60c0bc8)
[LOG] SoundI::release                          :             water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe711e248)
[LOG] SoundI::release                          :             water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe711d188)
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9ab26c8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9ab30b8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9ab30b8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9aaf518
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9aaf518
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9aaff08
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9aaff08
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9ab08f8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9ab08f8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9ab12e8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9ab12e8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9ab1cd8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9ab1cd8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9aad888
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9aad888
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9aae138
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9aae138
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7febf5dae8
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fe71afdc0
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Guitar 5', format=5, channels=1, frequency=48000, lengthbytes=261664, lengthpcm=1840269, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.957259.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7febf5dae8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe60e96b8
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fe67178c0
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Piano 3', format=5, channels=1, frequency=48000, lengthbytes=99808, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.988500.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe60e96b8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed38d2a8
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Collisions.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 730112
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 13152
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fed393f10
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekposition = 259
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='136629__smmassuda__crashing', format=5, channels=1, frequency=48000, lengthbytes=136480, lengthpcm=770048, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.618701.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed38d2a8
[LOG] SoundI::release                          :     136629__smmassuda__crashing (0x7f7fed38d2a8)
[LOG] SoundI::release                          :         136629__smmassuda__crashing (0x7f7fe670c678)
[LOG] SoundI::release                          :         136629__smmassuda__crashing (0x7f7fe670ca38)
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :     Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :     Loading delay exceeded, sound may play at incorrect time
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fed06d8a8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1f3058)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed169568)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe672dd08)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff485ce78)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff485d008)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe60a5648)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed3f1f18)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed3f20a8)
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff481acb8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff481acb8
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe67ad6a8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48076f8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4807888)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe67946f8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff480b458)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed362658)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6788588)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48b44c8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48b4658)
[LOG] SystemI::createSound                     :     filename = ../PizzaGame/Build/Desktop/Ambience.bank : mode 02010082
[LOG] SystemI::createSound                     :     FMOD_NONBLOCKING specified.  Putting into queue to be opened asynchronously!
[LOG] SystemI::createSound                     :     setdata soundi = 0x7f7ff48f4d88 : node = 0x7f7ff48fa460
[LOG] SystemI::createSound                     :     add node to async list : head = 0x7f7ff40bab38.  list count = 0
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48f4d88
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7ff48fa570
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Printing', format=5, channels=2, frequency=48000, lengthbytes=333440, lengthpcm=1245648, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.975991.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48f4d88
[LOG] SystemI::createSound                     :     filename = ../PizzaGame/Build/Desktop/Music.bank : mode 02010082
[LOG] SystemI::createSound                     :     FMOD_NONBLOCKING specified.  Putting into queue to be opened asynchronously!
[LOG] SystemI::createSound                     :     setdata soundi = 0x7f7ff4885e38 : node = 0x7f7ff48fc140
[LOG] SystemI::createSound                     :     add node to async list : head = 0x7f7ff40bab38.  list count = 0
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4885e38
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Music.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 2824448
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 17696
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7ff48fc250
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Arp', format=5, channels=2, frequency=48000, lengthbytes=141632, lengthpcm=460800, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.865798.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4885e38
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe9ab1cd8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe9ab1cd8
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe673e118)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff489e8e8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff489ea78)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe71826e8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48ac2f8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48ac488)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60d4aa8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7ff48a9e78)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7ff48aa008)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe679fc28)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48db3c8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48db558)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60fb1c8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed35c958)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed374158)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe67511e8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1fe9a8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1feb38)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe671c6a8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed36a7b8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed3aa248)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe609b978)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe710cae8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe710cc78)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fed089018)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe71e0858)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe71e09e8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6757678)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed729b38)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed729cc8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6772088)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7132c58)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7132de8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6770608)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7131888)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7131a18)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60d5dd8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe9aaf388)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe9aaf518)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe672c0f8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48f1268)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48f13f8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fed0fd6b8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1f2668)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1f27f8)
[LOG] SoundI::release                          :     dancingloop (0x7f7fed36ae58)
[LOG] SoundI::release                          :         dancingloop (0x7f7fe71c4ed8)
[LOG] SoundI::release                          :         dancingloop (0x7f7fe71c5068)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe674b858)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4874968)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4874af8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe35c19d8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4806e48)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4806fd8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe60863f8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe9a9b088)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe9a95ed8)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60c6d28)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed523418)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed517ac8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe3525aa8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1496d8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1de368)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6764ce8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe712de88)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe712e018)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60a8c08)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe71130a8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe7113238)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe608d9d8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe7105468)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe71055f8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe71a3188)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed1731a8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed17cae8)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60d91c8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7ff48d5018)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7ff48d51a8)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe6041ff8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed3ab548)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed3ab6d8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6720348)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48f6178)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48f6308)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6045ea8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed362db8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed362f48)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe6075bd8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe9ab1b48)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe9ab1cd8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6758938)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed709ea8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed70a038)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe67ac928)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4890be8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4883758)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6729f98)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48ee778)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48ee908)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe60aef48)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe71139e8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7113b78)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe67533e8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48a75d8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed15f218)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe67326a8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48a37d8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48a3968)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe60a4168)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7110078)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7110208)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe675f678)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7122678)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7122808)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe358d9a8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff489d408)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff489d598)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6767998)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe712f478)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe712f608)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6792b18)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff489aeb8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff489b048)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60233d8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed3637a8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed392a48)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe6073d78)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed3f27c8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed3f2958)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6768d68)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff404faf8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff40fd968)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6717138)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed3f8678)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed3f8808)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe6072fe8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe9ab2f28)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe9ab30b8)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7ff48d6418)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7ff4882b48)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7ff4882cd8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe678b718)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48d1318)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48d14a8)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe607adc8)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe9aafd78)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe9aaff08)
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe7118b38
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe7118b38
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe673ad28)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48f7928)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48f7ab8)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe60b7638)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7119a58)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe7117188)
[LOG] SoundI::release                          :     videoplayback-2.2Traffic Sound (0x7f7fe679aae8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff48da3f8)
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7ff4805a68)
[LOG] SoundI::release                          :     water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fe60fc758)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed3b0508)
[LOG] SoundI::release                          :         water flows into the drain#sound effect#mastersoundDrain SOunds (0x7f7fed3f0cc8)
[LOG] SystemI::createSound                     :     filename = ../PizzaGame/Build/Desktop/Ambience.bank : mode 02010082
[LOG] SystemI::createSound                     :     FMOD_NONBLOCKING specified.  Putting into queue to be opened asynchronously!
[LOG] SystemI::createSound                     :     setdata soundi = 0x7f7ff4883758 : node = 0x7f7ff48495c0
[LOG] SystemI::createSound                     :     add node to async list : head = 0x7f7ff40bab38.  list count = 0
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4883758
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
